"Tweet Id","Media Id","Media URL","Tweet URL"
"""1322421899599749120""","""1322421898177925120""",https://pbs.twimg.com/media/ElovtbwX0AArk0Y.jpg,https://t.co/iEFj0u59cr
"""1322421796100923393""","""1322240634493849601""",https://pbs.twimg.com/media/ElmK2f6X0AEk3AT.jpg,https://t.co/UPEUdbaJzN
"""1322418021235908615""","""1322225184150032385""",https://pbs.twimg.com/media/Ell8zK5WkAExWWD.jpg,https://t.co/Tk8KioALiS
"""1322403063798370305""","""1322403053912338433""",https://pbs.twimg.com/media/EloekjZWMAE2c9Q.jpg,https://t.co/K48f2KWJKd
"""1322400699842441216""","""1322400690505977857""",https://pbs.twimg.com/media/Eloca_BXEAEBpAG.jpg,https://t.co/pODFHGKPwm
"""1322399784616022016""","""1322399762063261697""",https://pbs.twimg.com/media/Elobk8TXgAEz87G.jpg,https://t.co/wy1g0XQS41
"""1322399784616022016""","""1322399762071588864""",https://pbs.twimg.com/media/Elobk8VWkAAWFAB.jpg,https://t.co/wy1g0XQS41
"""1322396816504246273""","""1322395964016107521""",https://pbs.twimg.com/media/EloYH3eXIAErWZD.jpg,https://t.co/exp4OS05LY
"""1322387309988294661""","""1322387243454078976""",https://pbs.twimg.com/media/EloQMQ2WoAAFS_y.jpg,https://t.co/5aAXX57KrG
"""1322386570012491777""","""1322386566619287553""",https://pbs.twimg.com/media/EloPk3cXUAEHnUU.jpg,https://t.co/w3ZlSxeF03
"""1322371945288052737""","""1322371227483328513""",https://pbs.twimg.com/media/EloBoAtXUAEk1ih.jpg,https://t.co/v81fIZUvN1
"""1322364937033965568""","""1322364898630918144""",https://pbs.twimg.com/media/Eln73n5XYAAbEFL.png,https://t.co/CUWQiqqQ23
"""1322357363953836032""","""1322357332974751750""",https://pbs.twimg.com/media/Eln0_PoX0AYAU6y.jpg,https://t.co/bf2uGgAyKn
"""1322357363953836032""","""1322357332978917378""",https://pbs.twimg.com/media/Eln0_PpXYAItjah.jpg,https://t.co/bf2uGgAyKn
"""1322357363953836032""","""1322357332983074817""",https://pbs.twimg.com/media/Eln0_PqW0AEsSAb.jpg,https://t.co/bf2uGgAyKn
"""1322357363953836032""","""1322357332957945857""",https://pbs.twimg.com/media/Eln0_PkXYAEmqwb.jpg,https://t.co/bf2uGgAyKn
