"Tweet Id","Media Id","Media URL","Tweet URL"
"""1322525342364540931""","""1322524677798088706""",https://video.twimg.com/ext_tw_video/1322524677798088706/pu/vid/480x270/6JANI-WY1yyD5wGD.mp4?tag=10,https://t.co/169MbwY42M
"""1322483604266668032""","""1322483539108134913""",https://video.twimg.com/ext_tw_video/1322483539108134913/pu/vid/480x270/QTI7ApyNK2KMcG2-.mp4?tag=10,https://t.co/91yKoIRnpD
"""1322476969045463040""","""1322476899856244736""",https://video.twimg.com/ext_tw_video/1322476899856244736/pu/vid/480x480/dc9DWp-KBDMywXZQ.mp4?tag=10,https://t.co/qye7u80JMD
"""1322431483777372161""","""1322431325282934785""",https://video.twimg.com/ext_tw_video/1322431325282934785/pu/vid/352x640/kSAhETW_ittuESGc.mp4?tag=10,https://t.co/PVF5wXd1Be
"""1322233145995964416""","""1322233094246670336""",https://video.twimg.com/ext_tw_video/1322233094246670336/pu/vid/640x360/VuuVePNCYQkYUrNx.mp4?tag=10,https://t.co/lntFAJ95uA
"""1322183903428386818""","""1322183569435971585""",https://video.twimg.com/ext_tw_video/1322183569435971585/pu/vid/490x270/N2p5F3OJVZE_DzWz.mp4?tag=10,https://t.co/fN4noi3q9B
"""1322123568780627970""","""1322123493870342144""",https://video.twimg.com/ext_tw_video/1322123493870342144/pu/pl/PTUyGitxh6qoVGiO.m3u8?tag=10,https://t.co/NYSB3pXDtn
"""1322053339941658624""","""1322053325358043137""",https://video.twimg.com/tweet_video/EljgfrAXEAECTsU.mp4,https://t.co/mCTDrEClyq
"""1321545556401991681""","""1321545168684797954""",https://video.twimg.com/ext_tw_video/1321545168684797954/pu/vid/1280x720/7IUN3ux7mE9CTGKc.mp4?tag=10,https://t.co/MRtUkuSPiA
"""1321522423234203653""","""1321521811390160901""",https://video.twimg.com/ext_tw_video/1321521811390160901/pu/pl/jhE4SeQv-ewroe_T.m3u8?tag=10,https://t.co/JNNGpainNN
"""1321484350848946176""","""1321484103942873097""",https://video.twimg.com/ext_tw_video/1321484103942873097/pu/vid/720x720/6sWC2hphtPZeXn3p.mp4?tag=10,https://t.co/5jzYVmO4rY
"""1321400682876993536""","""1321400576408752129""",https://video.twimg.com/ext_tw_video/1321400576408752129/pu/pl/xmKd4Kbd8arYp-1p.m3u8?tag=10,https://t.co/WZvTIalFrn
"""1321396831763501058""","""1321396673894113281""",https://video.twimg.com/ext_tw_video/1321396673894113281/pu/vid/480x270/Up4VfRe3Tj4-wxwC.mp4?tag=10,https://t.co/UrQNNOAy1i
"""1321390998526828544""","""1321389364518232064""",https://video.twimg.com/ext_tw_video/1321389364518232064/pu/vid/1280x720/w3fy0218dWLTQnkn.mp4?tag=10,https://t.co/eyQLvVzwdY
"""1321386610328522752""","""1321386076087484417""",https://video.twimg.com/ext_tw_video/1321386076087484417/pu/pl/74Af5oQRCjJIfYj_.m3u8?tag=10,https://t.co/36Kum5hzC4
"""1321374540732239872""","""1321374169750249473""",https://video.twimg.com/ext_tw_video/1321374169750249473/pu/pl/gmOADgIDUpTFoOyN.m3u8?tag=10,https://t.co/Q6ClaUxgaG
"""1321369856286035973""","""1321369735272026112""",https://video.twimg.com/ext_tw_video/1321369735272026112/pu/vid/320x320/xnFXwid4b0f4IjEy.mp4?tag=10,https://t.co/EfLumiMFzW
"""1321357421504245761""","""1321356944519712768""",https://video.twimg.com/ext_tw_video/1321356944519712768/pu/vid/320x320/JMk-suc7oA2pTVq_.mp4?tag=10,https://t.co/l4UD34OIC1
"""1321326526466502656""","""1321324694092587009""",https://video.twimg.com/ext_tw_video/1321324694092587009/pu/pl/YUrtzPtU9ygFZ3M5.m3u8?tag=10,https://t.co/JGrEt1x4c3
"""1321142543292239874""","""1320784641629003779""",https://video.twimg.com/ext_tw_video/1320784641629003779/pu/vid/640x352/vxGs1OnITY17YrqN.mp4?tag=10,https://t.co/95wYX4tkqs
"""1321019141583564800""","""1321019074718162944""",https://video.twimg.com/ext_tw_video/1321019074718162944/pu/vid/320x320/z7FTzkZswOwYBCmQ.mp4?tag=10,https://t.co/Wam9fYOqmQ
"""1321012049418293248""","""1321011353864282112""",https://video.twimg.com/ext_tw_video/1321011353864282112/pu/pl/QcAU7sqJy_5IQ1bA.m3u8?tag=10,https://t.co/NDQW3vS123
"""1320997815808598017""","""1320997727556247552""",https://video.twimg.com/ext_tw_video/1320997727556247552/pu/vid/640x360/3J4QwXWMewnLDRFU.mp4?tag=10,https://t.co/AIZkuQwqoz
"""1320841648016924680""","""1320841637522755589""",https://video.twimg.com/tweet_video/ElSSeKEW0AU8yhQ.mp4,https://t.co/3FgvM7SBcw
"""1320812567032418304""","""1320784641629003779""",https://video.twimg.com/ext_tw_video/1320784641629003779/pu/vid/640x352/vxGs1OnITY17YrqN.mp4?tag=10,https://t.co/95wYX4tkqs
"""1320787156823085058""","""1320784641629003779""",https://video.twimg.com/ext_tw_video/1320784641629003779/pu/vid/640x352/vxGs1OnITY17YrqN.mp4?tag=10,https://t.co/95wYX4tkqs
"""1320784690471669760""","""1320784641629003779""",https://video.twimg.com/ext_tw_video/1320784641629003779/pu/vid/640x352/vxGs1OnITY17YrqN.mp4?tag=10,https://t.co/95wYX4tkqs
"""1320663907078443008""","""1320516228184711171""",https://video.twimg.com/ext_tw_video/1320516228184711171/pu/vid/480x270/Fg-7giiUVjWQ1arv.mp4?tag=10,https://t.co/PZRHtZmBfi
